#group,false,false,true,true,false,false,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string
#default,_result,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,component,id,name,source
,,3,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:29.816Z,0,value,pose_orientation_X,navigation,68279,pose_orientation_X,rover
,,4,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:29.816Z,0,value,pose_orientation_Y,navigation,73304,pose_orientation_Y,rover
,,5,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:29.816Z,0.002617990887417994,value,pose_orientation_Z,navigation,58391,pose_orientation_Z,rover
,,6,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:29.816Z,0.9999965730559848,value,pose_orientation_W,navigation,54720,pose_orientation_W,rover
,,0,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:29.916Z,0.01333236866102617,value,pose_position_X,navigation,56867,pose_position_X,rover
,,1,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:29.916Z,0.00005817380173898438,value,pose_position_Y,navigation,90704,pose_position_Y,rover
,,2,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:29.916Z,0,value,pose_position_Z,navigation,27655,pose_position_Z,rover
,,3,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:29.916Z,0,value,pose_orientation_X,navigation,68279,pose_orientation_X,rover
,,4,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:29.916Z,0,value,pose_orientation_Y,navigation,73304,pose_orientation_Y,rover
,,5,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:29.916Z,0.003490651415223732,value,pose_orientation_Z,navigation,58391,pose_orientation_Z,rover
,,6,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:29.916Z,0.9999939076577904,value,pose_orientation_W,navigation,54720,pose_orientation_W,rover
,,0,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:30.016Z,0.01666537198563991,value,pose_position_X,navigation,56867,pose_position_X,rover
,,1,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:30.016Z,0.00008726048109904801,value,pose_position_Y,navigation,90704,pose_position_Y,rover
,,2,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:30.016Z,0,value,pose_position_Z,navigation,27655,pose_position_Z,rover
,,3,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:30.016Z,0,value,pose_orientation_X,navigation,68279,pose_orientation_X,rover
,,4,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:30.016Z,0,value,pose_orientation_Y,navigation,73304,pose_orientation_Y,rover
,,5,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:30.016Z,0.004363309284746571,value,pose_orientation_Z,navigation,58391,pose_orientation_Z,rover
,,6,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:30.016Z,0.9999904807207345,value,pose_orientation_W,navigation,54720,pose_orientation_W,rover
,,0,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:30.116Z,0.019998319467994023,value,pose_position_X,navigation,56867,pose_position_X,rover
,,1,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:30.116Z,0.00012216430140365856,value,pose_position_Y,navigation,90704,pose_position_Y,rover
,,2,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:30.116Z,0,value,pose_position_Z,navigation,27655,pose_position_Z,rover
,,3,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:30.116Z,0,value,pose_orientation_X,navigation,68279,pose_orientation_X,rover
,,4,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:30.116Z,0,value,pose_orientation_Y,navigation,73304,pose_orientation_Y,rover
,,5,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:30.116Z,0.005235963831419581,value,pose_orientation_Z,navigation,58391,pose_orientation_Z,rover
,,6,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:30.116Z,0.999986292247427,value,pose_orientation_W,navigation,54720,pose_orientation_W,rover
,,0,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:30.216Z,0.023331200955352453,value,pose_position_X,navigation,56867,pose_position_X,rover
,,1,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:30.216Z,0.00016288515632972617,value,pose_position_Y,navigation,90704,pose_position_Y,rover
,,2,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:30.216Z,0,value,pose_position_Z,navigation,27655,pose_position_Z,rover
,,3,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:30.216Z,0,value,pose_orientation_X,navigation,68279,pose_orientation_X,rover
,,4,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:30.216Z,0,value,pose_orientation_Y,navigation,73304,pose_orientation_Y,rover
,,5,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:30.216Z,0.006108614390678362,value,pose_orientation_Z,navigation,58391,pose_orientation_Z,rover
,,6,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:30.216Z,0.9999813422410572,value,pose_orientation_W,navigation,54720,pose_orientation_W,rover
,,0,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:30.316Z,0.02666400629518019,value,pose_position_X,navigation,56867,pose_position_X,rover
,,1,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:30.316Z,0.00020942292183446473,value,pose_position_Y,navigation,90704,pose_position_Y,rover
,,2,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:30.316Z,0,value,pose_position_Z,navigation,27655,pose_position_Z,rover
,,3,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:30.316Z,0,value,pose_orientation_X,navigation,68279,pose_orientation_X,rover
,,4,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:30.316Z,0,value,pose_orientation_Y,navigation,73304,pose_orientation_Y,rover
,,5,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:30.316Z,0.006981260297961553,value,pose_orientation_Z,navigation,58391,pose_orientation_Z,rover
,,6,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:30.316Z,0.9999756307053949,value,pose_orientation_W,navigation,54720,pose_orientation_W,rover
,,0,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:30.416Z,0.02999672533517418,value,pose_position_X,navigation,56867,pose_position_X,rover
,,1,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:30.416Z,0.00026177745615576977,value,pose_position_Y,navigation,90704,pose_position_Y,rover
,,2,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:30.416Z,0,value,pose_position_Z,navigation,27655,pose_position_Z,rover
,,3,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:30.416Z,0,value,pose_orientation_X,navigation,68279,pose_orientation_X,rover
,,4,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:30.416Z,0,value,pose_orientation_Y,navigation,73304,pose_orientation_Y,rover
,,5,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:30.416Z,0.007853900888711334,value,pose_orientation_Z,navigation,58391,pose_orientation_Z,rover
,,6,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:30.416Z,0.9999691576447898,value,pose_orientation_W,navigation,54720,pose_orientation_W,rover
,,0,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:30.516Z,0.03332934792329425,value,pose_position_X,navigation,56867,pose_position_X,rover
,,1,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:30.516Z,0.0003199485998126501,value,pose_position_Y,navigation,90704,pose_position_Y,rover
,,2,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:30.516Z,0,value,pose_position_Z,navigation,27655,pose_position_Z,rover
,,3,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:30.516Z,0,value,pose_orientation_X,navigation,68279,pose_orientation_X,rover
,,4,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:30.516Z,0,value,pose_orientation_Y,navigation,73304,pose_orientation_Y,rover
,,5,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:30.516Z,0.008726535498373935,value,pose_orientation_Z,navigation,58391,pose_orientation_Z,rover
,,6,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:30.516Z,0.9999619230641714,value,pose_orientation_W,navigation,54720,pose_orientation_W,rover
,,0,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:30.616Z,0.03666186390779404,value,pose_position_X,navigation,56867,pose_position_X,rover
,,1,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:30.616Z,0.00038393617560571387,value,pose_position_Y,navigation,90704,pose_position_Y,rover
,,2,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:30.616Z,0,value,pose_position_Z,navigation,27655,pose_position_Z,rover
,,3,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:30.616Z,0,value,pose_orientation_X,navigation,68279,pose_orientation_X,rover
,,4,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:30.616Z,0,value,pose_orientation_Y,navigation,73304,pose_orientation_Y,rover
,,5,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:30.616Z,0.00959916346240014,value,pose_orientation_Z,navigation,58391,pose_orientation_Z,rover
,,6,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:30.616Z,0.9999539269690491,value,pose_orientation_W,navigation,54720,pose_orientation_W,rover
,,0,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:30.716Z,0.03999426313725191,value,pose_position_X,navigation,56867,pose_position_X,rover
,,1,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:30.716Z,0.00045373998861770825,value,pose_position_Y,navigation,90704,pose_position_Y,rover
,,2,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:30.716Z,0,value,pose_position_Z,navigation,27655,pose_position_Z,rover
,,3,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:30.716Z,0,value,pose_orientation_X,navigation,68279,pose_orientation_X,rover
,,4,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:30.716Z,0,value,pose_orientation_Y,navigation,73304,pose_orientation_Y,rover
,,5,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:30.716Z,0.010471784116245794,value,pose_orientation_Z,navigation,58391,pose_orientation_Z,rover
,,6,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:30.716Z,0.9999451693655123,value,pose_orientation_W,navigation,54720,pose_orientation_W,rover
,,0,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:30.816Z,0.0433265354606019,value,pose_position_X,navigation,56867,pose_position_X,rover
,,1,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:30.816Z,0.000529359826214113,value,pose_position_Y,navigation,90704,pose_position_Y,rover
,,2,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:30.816Z,0,value,pose_position_Z,navigation,27655,pose_position_Z,rover
,,3,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:30.816Z,0,value,pose_orientation_X,navigation,68279,pose_orientation_X,rover
,,4,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:30.816Z,0,value,pose_orientation_Y,navigation,73304,pose_orientation_Y,rover
,,5,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:30.816Z,0.01134439679537231,value,pose_orientation_Z,navigation,58391,pose_orientation_Z,rover
,,6,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:30.816Z,0.9999356502602302,value,pose_orientation_W,navigation,54720,pose_orientation_W,rover
,,0,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:30.916Z,0.04665867072716461,value,pose_position_X,navigation,56867,pose_position_X,rover
,,1,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:30.916Z,0.0006107954580437886,value,pose_position_Y,navigation,90704,pose_position_Y,rover
,,2,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:30.916Z,0,value,pose_position_Z,navigation,27655,pose_position_Z,rover
,,3,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:30.916Z,0,value,pose_orientation_X,navigation,68279,pose_orientation_X,rover
,,4,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:30.916Z,0,value,pose_orientation_Y,navigation,73304,pose_orientation_Y,rover
,,5,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:30.916Z,0.01221700083524717,value,pose_orientation_Z,navigation,58391,pose_orientation_Z,rover
,,6,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:30.916Z,0.9999253696604521,value,pose_orientation_W,navigation,54720,pose_orientation_W,rover
,,0,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:31.016Z,0.04999065878667815,value,pose_position_X,navigation,56867,pose_position_X,rover
,,1,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:31.016Z,0.0006980466360396774,value,pose_position_Y,navigation,90704,pose_position_Y,rover
,,2,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:31.016Z,0,value,pose_position_Z,navigation,27655,pose_position_Z,rover
,,3,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:31.016Z,0,value,pose_orientation_X,navigation,68279,pose_orientation_X,rover
,,4,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:31.016Z,0,value,pose_orientation_Y,navigation,73304,pose_orientation_Y,rover
,,5,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:31.016Z,0.013089595571344443,value,pose_orientation_Z,navigation,58391,pose_orientation_Z,rover
,,6,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:31.016Z,0.9999143275740071,value,pose_orientation_W,navigation,54720,pose_orientation_W,rover
,,0,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:31.116Z,0.05332248948932903,value,pose_position_X,navigation,56867,pose_position_X,rover
,,1,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:31.116Z,0.0007911130944195599,value,pose_position_Y,navigation,90704,pose_position_Y,rover
,,2,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:31.116Z,0,value,pose_position_Z,navigation,27655,pose_position_Z,rover
,,3,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:31.116Z,0,value,pose_orientation_X,navigation,68279,pose_orientation_X,rover
,,4,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:31.116Z,0,value,pose_orientation_Y,navigation,73304,pose_orientation_Y,rover
,,5,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:31.116Z,0.013962180339145275,value,pose_orientation_Z,navigation,58391,pose_orientation_Z,rover
,,6,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:31.116Z,0.9999025240093043,value,pose_orientation_W,navigation,54720,pose_orientation_W,rover
,,0,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:31.216Z,0.05665415268578312,value,pose_position_X,navigation,56867,pose_position_X,rover
,,1,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:31.216Z,0.0008899945496868638,value,pose_position_Y,navigation,90704,pose_position_Y,rover
,,2,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:31.216Z,0,value,pose_position_Z,navigation,27655,pose_position_Z,rover
,,3,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:31.216Z,0,value,pose_orientation_X,navigation,68279,pose_orientation_X,rover
,,4,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:31.216Z,0,value,pose_orientation_Y,navigation,73304,pose_orientation_Y,rover
,,5,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:31.216Z,0.014834754474138408,value,pose_orientation_Z,navigation,58391,pose_orientation_Z,rover
,,6,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:31.216Z,0.9998899589753326,value,pose_orientation_W,navigation,54720,pose_orientation_W,rover
,,0,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:31.316Z,0.059985638227216524,value,pose_position_X,navigation,56867,pose_position_X,rover
,,1,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:31.316Z,0.0009946907006315277,value,pose_position_Y,navigation,90704,pose_position_Y,rover
,,2,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:31.316Z,0,value,pose_position_Z,navigation,27655,pose_position_Z,rover
,,3,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:31.316Z,0,value,pose_orientation_X,navigation,68279,pose_orientation_X,rover
,,4,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:31.316Z,0,value,pose_orientation_Y,navigation,73304,pose_orientation_Y,rover
,,5,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:31.316Z,0.01570731731182068,value,pose_orientation_Z,navigation,58391,pose_orientation_Z,rover
,,6,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:31.316Z,0.9998766324816607,value,pose_orientation_W,navigation,54720,pose_orientation_W,rover
,,0,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:31.416Z,0.06331693596534653,value,pose_position_X,navigation,56867,pose_position_X,rover
,,1,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:31.416Z,0.0011052012283309192,value,pose_position_Y,navigation,90704,pose_position_Y,rover
,,2,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:31.416Z,0,value,pose_position_Z,navigation,27655,pose_position_Z,rover
,,3,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:31.416Z,0,value,pose_orientation_X,navigation,68279,pose_orientation_X,rover
,,4,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:31.416Z,0,value,pose_orientation_Y,navigation,73304,pose_orientation_Y,rover
,,5,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:31.416Z,0.01657986818769753,value,pose_orientation_Z,navigation,58391,pose_orientation_Z,rover
,,6,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:31.416Z,0.9998625445384375,value,pose_orientation_W,navigation,54720,pose_orientation_W,rover
,,0,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:31.516Z,0.06664803575246249,value,pose_position_X,navigation,56867,pose_position_X,rover
,,1,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:31.516Z,0.0012215257961508054,value,pose_position_Y,navigation,90704,pose_position_Y,rover
,,2,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:31.516Z,0,value,pose_position_Z,navigation,27655,pose_position_Z,rover
,,3,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:31.516Z,0,value,pose_orientation_X,navigation,68279,pose_orientation_X,rover
,,4,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:31.516Z,0,value,pose_orientation_Y,navigation,73304,pose_orientation_Y,rover
,,5,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:31.516Z,0.017452406437283515,value,pose_orientation_Z,navigation,58391,pose_orientation_Z,rover
,,6,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:31.516Z,0.9998476951563914,value,pose_orientation_W,navigation,54720,pose_orientation_W,rover
,,0,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:31.616Z,0.06997892744145676,value,pose_position_X,navigation,56867,pose_position_X,rover
,,1,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:31.616Z,0.0013436640497463794,value,pose_position_Y,navigation,90704,pose_position_Y,rover
,,2,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:31.616Z,0,value,pose_position_Z,navigation,27655,pose_position_Z,rover
,,3,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:31.616Z,0,value,pose_orientation_X,navigation,68279,pose_orientation_X,rover
,,4,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:31.616Z,0,value,pose_orientation_Y,navigation,73304,pose_orientation_Y,rover
,,5,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:31.616Z,0.0183249313961028,value,pose_orientation_Z,navigation,58391,pose_orientation_Z,rover
,,6,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:31.616Z,0.9998320843468309,value,pose_orientation_W,navigation,54720,pose_orientation_W,rover
,,0,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:31.716Z,0.07330960088585559,value,pose_position_X,navigation,56867,pose_position_X,rover
,,1,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:31.716Z,0.001471615617063339,value,pose_position_Y,navigation,90704,pose_position_Y,rover
,,2,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:31.716Z,0,value,pose_position_Z,navigation,27655,pose_position_Z,rover
,,3,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:31.716Z,0,value,pose_orientation_X,navigation,68279,pose_orientation_X,rover
